一	y ī
丁字	d īng z ì
丁字尺	d īng z ì ch ǐ
丁字形	d īng z ì x íng
丁字街	d īng z ì j iē
丁宁	d īng n íng
丁当	d īng d āng
丁忧	d īng y ōu
丁未	d īng w èi
丁点儿	d īng d iǎn er
丁艰	d īng j iān
丁零	d īng l íng
丁零当啷	d īng l íng d āng l āng
丁香	d īng x iāng
丁香花	d īng x iāng h uā
丂	k ǎo
七	q ī
七上八下	q ī sh àng b ā x ià
七上八落	q ī sh àng b ā l uò
七了八当	q ī l e b ā d āng
七十二行	q ī sh í èr h áng
七叶一枝花	q ī y è y ī zh ī h uā
七叶树	q ī y è sh ù
七大	q ī d à
七大八小	q ī d à b ā x iǎo
七大洲	q ī d à zh ōu
七尺之躯	q ī ch ǐ zh ī q ū
七开八得	q ī k āi b ā d é
七情六欲	q ī q íng l iù y ù
七折八扣	q ī zh é b ā k òu
七担八挪	q ī d ān b ā n uó
七拉八扯	q ī l ā b ā ch ě
七拱八翘	q ī g ǒng b ā q iào
七擒七纵	q ī q ín q ī z òng
七棱八瓣	q ī l éng b ā b àn
七横八竖	q ī h éng b ā sh ù
七次量衣一次裁	q ī c ì l iáng y ī y ī c ì c ái
七步八叉	q ī b ù b ā ch ā
七病八倒	q ī b ìng b ā d ǎo
七相五公	q ī x iāng w ǔ g ōng
七窍冒火	q ī q iào m ào h uǒ
七纵七擒	q ī z òng q ī q ín
七纵七禽	q ī z òng q ī q ín
七纵八横	q ī z òng b ā h éng
七老八倒	q ī l ǎo b ā d ǎo
七行俱下	q ī h áng j ù x ià
七言八语	q ī y án b ā y ǔ
七返还丹	q ī f ǎn h uán d ān
七长八短	q ī ch áng b ā d uǎn
七零八落	q ī l íng b ā l uò
七颠八倒	q ī d iān b ā d ǎo
丄	sh àng
丅	x ià
丆	h ǎn
万	w àn
万一	w àn y ī
万万	w àn w àn
万万千千	w àn w àn q iān q iān
万丈	w àn zh àng
万丈深渊	w àn zh àng sh ēn y uān
万丈高楼平地起	w àn zh àng g āo l óu p íng d ì q ǐ
万不失一	w àn b ù sh ī y ī
万不得已	w àn b ù d é y ǐ
万世	w àn sh ì
万世一时	w àn sh ì y ī sh í
万世不易	w àn sh ì b ù y ì
万世师表	w àn sh ì sh ī b iǎo
万世无疆	w àn sh ì w ú j iāng
万世流芳	w àn sh ì l iú f āng
万事	w àn sh ì
万事亨通	w àn sh ì h ēng t ōng
万事俱备	w àn sh ì j ù b èi
万事大吉	w àn sh ì d à j í
万事通	w àn sh ì t ōng
万人之敌	w àn r én zh ī d í
万人坑	w àn r én k ēng
万人空巷	w àn r én k ōng x iàng
万代千秋	w àn d ài q iān q iū
万众	w àn zh òng
万众一心	w àn zh òng y ī x īn
万俟	m ò q í
万儿八千	w àn ér b ā q iān
万全	w àn q uán
万全之策	w àn q uán zh ī c è
万全之计	w àn q uán zh ī j ì
万分	w àn f ēn
万别千差	w àn b ié q iān ch ā
万劫不复	w àn j ié b ù f ù
万千	w àn q iān
万卷	w àn j uàn
万历	w àn l ì
万变不离其宗	w àn b iàn b ù l í q í z ōng
万口一词	w àn k ǒu y ī c í
万口一谈	w àn k ǒu y ī t án
万口一辞	w àn k ǒu y ī c í
万古	w àn g ǔ
万古千秋	w àn g ǔ q iān q iū
万古流芳	w àn g ǔ l iú f āng
万古留芳	w àn g ǔ l iú f āng
万古长存	w àn g ǔ ch áng c ún
万古长春	w àn g ǔ ch áng ch ūn
万古长青	w àn g ǔ ch áng q īng
万国	w àn g uó
万壑争流	w àn h è zh ēng l iú
万壑千岩	w àn h è q iān y án
万夫不当	w àn f ū b ù d āng
万夫不当之勇	w àn f ū b ù d āng zh ī y ǒng
万夫莫当	w àn f ū m ò d āng
万头攒动	w àn t óu c uán d òng
万安	w àn ān
万家灯火	w àn j iā d ēng h uǒ
万家生佛	w àn j iā sh ēng f ó
万寿无疆	w àn sh òu w ú j iāng
万岁	w àn s uì
万岁千秋	w àn s uì q iān q iū
万年	w àn n ián
万年历	w àn n ián l ì
万年无疆	w àn n ián w ú j iāng
万年青	w àn n ián q īng
万幸	w àn x ìng
万应灵丹	w àn y ìng l íng d ān
万应锭	w àn y ìng d ìng
万念俱寂	w àn n iàn j ù j ì
万念俱灰	w àn n iàn j ù h uī
万恨千愁	w àn h èn q iān ch óu
万恶	w àn è
万户侯	w àn h ù h óu
万户千门	w àn h ù q iān m én
万方	w àn f āng
万无一失	w àn w ú y ī sh ī
万有	w àn y ǒu
万有引力	w àn y ǒu y ǐn l ì
万机	w àn j ī
